,Country,GDP_Capita,Family,Life_Expectancy,Freedom,EducationIndex,Safety_index,Happiness_Score
35,Slovakia,0.66269677877426,0.7525296211242699,0.712732911109924,0.295817464590073,0.823,0.7929999999999999,6.842538250855037
36,Bahrain,0.74420613050461,0.6615552306175251,0.653133034706116,0.536746919155121,0.7170000000000001,0.455,6.81091616426196
37,Malaysia,0.645607709884645,0.64232301712036,0.618784427642822,0.4022649824619289,0.7,0.6859999999999999,6.707114481585365
38,Nicaragua,0.3686496019363405,0.64360785484314,0.6530959606170649,0.447551846504211,0.542,0.45,5.864150377001081
39,Ecuador,0.500410199165345,0.64308440685272,0.685636222362518,0.4551981985569,0.665,0.541,6.414755752767832
40,El Salvador,0.454892247915268,0.5910625457763651,0.596018552780151,0.432452529668808,0.584,0.506,5.949179823057989
41,Poland,0.645893931388855,0.72285598516464,0.699475347995758,0.520342111587524,0.852,0.8370000000000001,7.539381965909682
42,Uzbekistan,0.393220543861389,0.77448457479477,0.498272627592087,0.6582486629486078,0.74,0.389,6.361752013138363
43,Italy,0.697533309459685,0.72246164083481,0.8531443476676941,0.256450712680817,0.8140000000000001,0.7659999999999999,6.585128586632867
44,Japan,0.708457589149475,0.718168914318085,0.9134758710861208,0.505625545978546,0.8420000000000001,0.802,7.8424684579031805
45,Lithuania,0.6572911739349351,0.736758053302765,0.62894994020462,0.234231784939766,0.882,0.78,6.6703299319744085
46,Algeria,0.54593223333359,0.57310873270035,0.6175846457481379,0.233335807919502,0.6579999999999999,0.42,5.0685163138594
47,Latvia,0.63037431240082,0.702357470989225,0.638566970825195,0.325707912445068,0.835,0.8009999999999999,6.69000952380044
48,South Korea,0.70083922147751,0.5641372203826898,0.900214076042175,0.257921665906906,0.867,0.8440000000000001,7.3344459768704
49,Moldova,0.36443531513214095,0.62591278553009,0.5894652009010309,0.240729048848152,0.725,0.6679999999999999,6.019346214873449
50,Romania,0.608841955661775,0.57504564523697,0.6851583123207089,0.457003742456436,0.769,0.7929999999999999,6.982928079536985
51,Bolivia,0.416878283023834,0.613809525966645,0.4736302495002751,0.5587329268455511,0.6559999999999999,0.575,6.134358550480436
52,Turkmenistan,0.5653883814811701,0.746574580669405,0.437726080417633,0.41827192902565,0.629,0.404,6.001372816562655
53,Kazakhstan,0.6422781348228449,0.69218450784683,0.6060415506362921,0.43745428323745705,0.805,0.72,7.004226395062035
54,Slovenia,0.67060297727585,0.7262594103813149,0.7908282279968258,0.572575807571411,0.8859999999999999,0.867,7.518952033179146
55,Peru,0.517612636089325,0.609385192394255,0.6301661133766171,0.4500028789043429,0.672,0.4970000000000001,6.251666886806485
56,Mauritius,0.594697773456575,0.60478049516678,0.6380074620246889,0.491247326135635,0.725,0.792,6.565332938262399
57,Cyprus,0.67796903848648,0.565681636333465,0.84471470117569,0.35511153936386103,0.7859999999999999,0.7559999999999999,6.40782416479928
58,Estonia,0.6604396700859051,0.73833554983139,0.695168316364288,0.479131430387497,0.877,0.8170000000000001,7.5243928095272565
59,Libya,0.550901532173155,0.678782165050505,0.520169019699097,0.465733230113983,0.616,0.2,5.759408495766771
